 ,Ag,Bg,Dg,Mg,Ng,Rg,Tg,Vg,Yg,a,ad,an,b,begin,c,d,e,end,f,h,i,j,k,l,m,n,na,nr,ns,nt,nx,nz,o,p,q,r,s,t,u,v,vd,vn,vvn,w,y,z
Ag,0,1,0,0,17,0,0,8,0,12,0,0,1,0,9,10,0,6,3,0,0,0,0,1,5,53,0,2,1,0,0,0,0,2,1,2,0,0,16,59,0,2,0,106,4,0
Bg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
Dg,2,0,0,0,0,0,0,4,0,40,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,3,0,1,0,5,0,69,0,0,0,1,0,0
Mg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Ng,12,0,3,0,52,0,3,13,0,86,12,0,9,0,63,179,0,50,84,0,8,8,3,15,96,529,0,15,53,174,0,3,1,149,4,31,1,83,225,804,2,39,0,1720,13,5
Rg,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0
Tg,0,0,0,0,5,0,34,7,0,2,2,0,0,0,2,46,0,7,5,0,1,1,0,2,7,27,0,2,2,0,0,1,0,43,1,9,0,16,27,99,0,3,0,139,2,1
Vg,7,0,0,0,52,0,2,5,0,66,1,8,10,0,13,26,0,6,8,0,10,35,2,2,68,368,0,10,54,8,0,1,1,65,2,58,2,52,54,212,0,20,0,513,4,3
Yg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
a,7,0,2,0,148,0,4,13,0,827,8,127,63,0,455,293,0,173,83,0,13,75,4,112,903,10855,0,53,121,4,2,9,0,291,261,94,16,45,9156,941,3,2266,0,6486,359,36
ad,0,0,0,0,0,0,1,23,0,76,35,0,0,0,1,79,0,0,3,0,5,3,0,19,4,3,0,0,0,0,0,0,0,130,0,5,0,1,1,5502,5,2,0,34,0,0
an,0,0,0,0,7,0,1,0,0,10,5,47,0,0,229,112,0,36,39,0,7,0,0,3,13,234,0,2,2,1,0,0,0,24,1,5,0,0,169,257,0,212,0,1373,7,2
b,1,0,0,0,20,0,0,3,0,96,2,58,145,0,39,17,0,4,80,0,4,51,0,39,69,5411,0,3,62,37,6,12,0,17,3,25,19,6,818,122,0,797,0,588,5,3
begin,4,0,4,0,13,0,13,23,0,246,58,9,70,0,371,456,5,0,63,0,102,298,0,166,1245,2419,0,2126,1340,1415,9,79,3,1996,2,2170,37,1392,1,1784,2,142,0,1389,1,31
c,6,0,4,0,31,0,7,40,0,987,183,142,290,0,112,1528,0,1,98,9,129,228,0,228,643,6430,0,310,878,482,14,58,1,1410,9,1133,139,298,21,6142,14,1797,0,1605,0,30
d,41,1,19,1,19,0,4,333,0,5971,473,2,57,0,91,4120,0,5,46,0,435,17,1,288,791,309,0,21,37,10,3,2,4,3525,15,295,8,76,309,29834,35,37,0,509,8,53
e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,23,0,0
end,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,3,0,2,0,27,0,0,41,0,182,144,13,44,0,133,1210,0,26,74,0,78,31,1,80,677,1196,0,24,103,21,1,4,2,419,35,204,20,16,1928,4188,12,168,0,5993,20,21
h,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,27,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0
i,1,0,3,1,6,0,1,6,0,9,6,0,2,0,43,70,0,46,44,0,17,2,2,8,14,74,0,4,7,1,0,1,0,61,3,8,2,3,1322,305,0,8,0,2904,31,3
j,0,0,0,0,14,0,1,3,0,101,28,5,122,0,160,230,0,26,218,0,10,990,4,26,398,2448,0,11,44,3,1,5,0,187,6,79,39,52,425,1104,9,480,0,1124,1,0
k,1,0,0,0,1,0,0,1,0,26,11,0,6,0,15,150,0,1,1,0,21,0,0,10,5,40,0,1,0,0,1,1,0,95,0,14,10,12,82,302,1,2,0,114,2,2
l,1,0,0,0,14,0,0,7,0,64,20,8,4,0,152,178,0,38,95,0,10,11,0,26,53,544,0,12,13,4,0,0,0,99,1,44,8,11,1038,551,4,172,0,2671,23,0
m,12,1,0,0,298,0,13,26,0,1455,19,50,138,0,115,333,0,296,235,1,64,71,4,66,2583,6754,0,27,207,41,5,33,1,223,21879,50,25,70,532,2024,1,362,0,3050,11,30
n,37,2,39,0,670,1,28,264,0,4017,1273,420,821,0,8074,12004,1,1562,7783,1,828,590,819,822,4012,37602,0,5468,516,227,37,103,13,5865,71,1439,379,1056,20554,32918,150,12002,0,60262,327,289
na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
nr,0,0,1,0,38,0,1,370,0,114,66,0,68,0,455,846,0,837,39,0,58,7,3,39,250,2319,0,15582,19,121,0,4,1,1173,2,124,45,617,1084,3842,7,29,0,6936,9,13
ns,3,0,0,0,72,0,6,16,0,232,115,18,191,0,537,742,0,81,472,0,36,150,0,85,785,6348,0,93,1059,24,4,48,0,637,9,263,240,1575,2107,3160,8,392,0,2899,9,11
nt,0,0,1,0,12,0,3,7,0,71,91,8,544,0,419,494,0,35,68,1,14,6,0,41,293,2206,0,77,808,131,3,2,0,644,0,74,12,350,795,2088,6,148,0,1380,0,2
nx,0,0,0,0,2,0,0,0,0,7,1,0,5,0,3,7,0,0,4,0,1,0,20,0,6,149,0,0,0,0,0,1,0,6,6,1,1,0,27,19,0,14,0,148,0,0
nz,0,0,0,0,4,0,0,3,0,26,8,0,25,0,50,48,0,9,50,1,7,5,4,6,55,769,0,2,26,2,9,7,0,33,3,17,2,12,159,200,2,34,0,1063,0,2
o,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,4,7,0,0,0,0,0,0,2,0,0,0,0,0,18,14,0,1,0,18,0,0
p,3,0,1,1,112,3,41,32,0,1328,179,42,551,0,9,673,0,4,404,2,147,970,0,299,2075,11494,0,831,3771,1725,26,165,3,460,24,4175,755,2748,28,5232,10,873,0,678,0,51
q,7,1,0,0,76,0,8,16,0,1287,47,64,386,0,126,605,0,95,1205,2,104,261,0,139,702,7810,0,41,206,97,13,72,0,349,19,133,60,109,1197,2179,5,782,0,5878,47,62
r,13,0,2,0,530,0,4,28,0,964,195,43,177,0,314,3152,0,23,178,3,229,128,0,197,1949,6670,0,19,698,20,2,22,3,1662,1022,522,132,243,2404,8127,15,774,0,1734,60,66
s,0,0,1,0,13,0,2,2,0,73,9,5,29,0,32,212,1,11,21,0,21,12,0,23,158,1021,0,0,20,4,1,6,4,35,4,33,18,4,444,746,3,133,0,625,6,14
t,3,0,0,0,244,0,125,12,0,200,97,4,31,0,106,987,0,90,951,0,27,97,0,48,473,2877,0,74,300,81,5,24,0,1400,7,297,39,4584,1091,2773,3,218,0,3361,9,11
u,25,0,4,0,499,0,45,49,1,5289,91,838,1416,0,66,1371,0,27,223,5,407,602,0,484,5578,32058,1,718,1512,661,50,246,8,633,117,1602,331,617,206,5284,21,9207,0,4282,33,222
v,71,1,19,2,1131,3,53,173,0,6920,855,734,1732,0,2089,4948,0,664,2433,13,874,1747,11,1070,10992,34136,0,1291,4352,1419,58,356,6,6622,515,7087,785,1843,23968,30477,114,4727,0,29399,813,161
vd,0,0,0,0,0,0,0,1,0,13,15,0,0,0,0,29,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,0,0,3,435,2,2,0,17,0,0
vn,0,0,0,0,106,0,2,9,0,277,113,51,134,0,2138,1162,0,264,1110,0,63,34,1,71,167,15046,0,9,31,4,3,3,0,314,2,87,52,42,2593,2677,15,3282,0,11849,24,17
vvn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w,60,1,30,2,310,2,89,205,0,3182,1770,99,1487,0,8997,11462,17,15022,1014,9,1281,1919,48,1455,5978,24793,0,8290,6182,4116,175,1374,17,11333,165,12241,565,4708,1622,29984,79,2612,1,9935,42,240
y,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,26,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,1833,16,0
z,1,0,0,0,2,0,1,4,0,46,0,3,2,0,18,19,0,11,5,0,7,0,0,3,46,306,0,1,2,0,0,0,0,16,0,1,4,3,402,200,0,8,0,267,3,9
